Game Title                                    Console                                                               Publisher                               VGChartz Score    Critic Score    User Score    Total Shipped    Release Date    Last Update    genre
Hogwarts Legacy                               /games/boxart/full_4790283AmericaFrontccc.jpg                         Warner Bros. Interactive Entertainment  N/A               N/A             N/A           12.00m           10th Feb 23     23rd Feb 23    Role-Playing
Wario                                         /games/boxart/full_1923698AmericaFrontccc.jpg                         Nintendo                                N/A               N/A             N/A           12.13m           13th Mar 94     22nd Feb 20    Platform
Metro                                         /games/boxart/full_979115AmericaFrontccc.jpg                          THQ                                     N/A               N/A             N/A           12.20m           16th Mar 10     14th Feb 21    Shooter
Mario & Luigi                                 /games/boxart/full_8727281AmericaFrontccc.png                         Nintendo                                N/A               N/A             N/A           12.20m           17th Nov 03     21st Feb 20    Role-Playing
Mario Golf                                    /games/boxart/full_161164AmericaFrontccc.jpg                          Nintendo                                N/A               N/A             N/A           12.22m           29th Sep 91     21st Feb 20    Sports
Resident Evil 4                               /games/boxart/full_1562748AmericaFrontccc.jpg                         Capcom                                  N/A               N/A             N/A           12.30m           11th Jan 05     11th Oct 20    Action-Adventure
The Witcher 3: Wild Hunt                      /games/boxart/full_7461389AmericaFrontccc.jpg                         Warner Bros. Interactive Entertainment  N/A               N/A             N/A           12.40m           19th May 15     04th May 18    Role-Playing
Luigi's Mansion 3                             /games/boxart/full_3171235AmericaFrontccc.jpg                         Nintendo                                6.0               N/A             N/A           12.44m           31st Oct 19     03rd Aug 20    Action-Adventure
Pokémon FireRed / LeafGreen Version           /games/boxart/full_5668335AmericaFrontccc.jpg                         Nintendo                                N/A               8.3             N/A           12.00m           07th Sep 04     N/A            Role-Playing
World of Warcraft                             /games/boxart/2497399ccc.jpg                                          Blizzard Entertainment                  N/A               9.2             8.0           12.00m           23rd Nov 04     22nd Apr 18    MMO
Rust                                          /games/boxart/full_4256609AmericaFrontccc.jpg                         Facepunch Studios                       N/A               N/A             N/A           12.48m           08th Feb 18     10th Jan 22    Action-Adventure
Myst                                          /games/boxart/full_9046076AmericaFrontccc.jpg                         Broderbund                              N/A               N/A             N/A           12.50m           24th Sep 93     09th Mar 20    Adventure
Grand Theft Auto V                            /games/boxart/full_9031276AmericaFrontccc.jpg                         Rockstar Games                          N/A               N/A             N/A           12.60m           14th Apr 15     02nd Nov 18    Action
Fable                                         /games/boxart/full_4336497AmericaFrontccc.png                         Microsoft Game Studios                  N/A               N/A             N/A           12.58m           14th Sep 04     25th Jul 20    Role-Playing
Call of Duty: Black Ops                       /games/boxart/full_call-of-duty-black-ops_3AmericaFront.jpg           Activision                              8.7               8.7             N/A           N/A              09th Nov 10     N/A            Shooter
Super Mario Galaxy                            /games/boxart/full_5542974AmericaFrontccc.jpg                         Nintendo                                9.6               9.7             9.6           12.80m           12th Nov 07     N/A            Platform
Pokémon Heart Gold / Soul Silver Version      /games/boxart/full_2733841AmericaFrontccc.jpg                         Nintendo                                8.5               8.6             N/A           12.72m           14th Mar 10     N/A            Role-Playing
Scribblenauts                                 /games/boxart/full_3256341AmericaFrontccc.jpg                         Warner Bros. Interactive Entertainment  N/A               N/A             N/A           13.00m           15th Sep 09     01st Mar 20    Puzzle
Super Mario 3D Land                           /games/boxart/full_super-mario-3dland_167AmericaFront.jpg             Nintendo                                9.1               8.9             N/A           12.86m           13th Nov 11     06th Apr 18    Platform
Stardew Valley                                /games/boxart/full_5698458AmericaFrontccc.jpg                         Chucklefish                             N/A               9.2             N/A           13.00m           26th Feb 16     21st Mar 18    Simulation
Minecraft                                     /games/boxart/full_7845034AmericaFrontccc.jpg                         Microsoft Studios                       8.8               N/A             N/A           13.00m           04th Jun 13     05th Aug 18    Misc
Animal Crossing: New Leaf                     /games/boxart/full_7774244AmericaFrontccc.jpg                         Nintendo                                9.0               8.6             N/A           13.02m           09th Jun 13     02nd Jan 18    Simulation
Portal 2                                      /games/boxart/full_portal-2_617AmericaFront.jpg                       Valve                                   N/A               9.7             N/A           13.06m           19th Apr 11     N/A            Shooter
Grand Theft Auto III                          /games/boxart/3570928ccc.jpg                                          Rockstar Games                          N/A               9.5             N/A           N/A              23rd Oct 01     N/A            Action
Rock Band                                     /games/boxart/full_5811111AmericaFrontccc.jpg                         MTV Games                               N/A               N/A             N/A           13.20m           20th Nov 07     18th Apr 21    Music
Splatoon 2                                    /games/boxart/full_7536933AmericaFrontccc.png                         Nintendo                                N/A               8.2             N/A           13.30m           21st Jul 17     19th Nov 18    Shooter
Super Smash Bros. Brawl                       /games/boxart/full_4169332AmericaFrontccc.jpg                         Nintendo                                9.2               9.2             9.7           13.32m           09th Mar 08     N/A            Fighting
Paper Mario                                   /games/boxart/full_3054233AmericaFrontccc.jpg                         Nintendo                                N/A               N/A             N/A           13.33m           05th Feb 01     21st Feb 20    Role-Playing
Call of Duty: Modern Warfare 3                /games/boxart/full_call-of-duty-modern-warfare-3_278AmericaFront.jpg  Activision                              8.6               8.8             N/A           N/A              08th Nov 11     N/A            Shooter
Dragon Ball Xenoverse                         /games/boxart/full_5916548AmericaFrontccc.png                         Bandai Namco Games                      N/A               N/A             N/A           13.35m           24th Feb 15     13th Feb 20    Fighting
Call of Duty: WWII                            /games/boxart/full_4380292AmericaFrontccc.jpg                         Activision                              N/A               8.0             N/A           N/A              03rd Nov 17     31st Dec 17    Shooter
New Super Mario Bros. 2                       /games/boxart/full_9872028AmericaFrontccc.jpg                         Nintendo                                7.6               7.5             N/A           13.41m           19th Aug 12     30th Jan 18    Platform
Resident Evil 5                               /games/boxart/full_1869345AmericaFrontccc.jpg                         Capcom                                  N/A               N/A             N/A           13.50m           13th Mar 09     11th Oct 20    Action-Adventure
Guild Wars                                    /games/boxart/full_851533AmericaFrontccc.jpg                          NCSoft                                  N/A               N/A             N/A           13.50m           26th Apr 05     19th Feb 20    MMO
Call of Duty: Modern Warfare 2                /games/boxart/full_809251AmericaFrontccc.jpg                          Activision                              9.0               9.5             9.0           N/A              10th Nov 09     N/A            Shooter
Batman: Arkham City                           /games/boxart/full_1731253AmericaFrontccc.jpg                         Warner Bros. Interactive Entertainment  N/A               N/A             N/A           12.50m           18th Oct 11     09th Nov 20    Action-Adventure
Call of Duty: Black Ops II                    /games/boxart/full_4649679AmericaFrontccc.png                         Activision                              N/A               N/A             N/A           N/A              13th Nov 12     07th Apr 18    Shooter
Fire Emblem                                   /games/boxart/full_6226270AmericaFrontccc.jpg                         Nintendo                                N/A               N/A             N/A           13.78m           03rd Nov 03     23rd Jul 21    Strategy
Call of Duty: Black Ops II                    /games/boxart/full_1977964AmericaFrontccc.jpg                         Activision                              8.9               N/A             N/A           N/A              13th Nov 12     07th Apr 18    Shooter
Portal                                        /games/boxart/full_6133074AmericaFrontccc.jpg                         Valve                                   N/A               N/A             N/A           13.97m           10th Oct 07     09th Nov 20    Puzzle
Red Dead Redemption 2                         /games/boxart/full_4653215AmericaFrontccc.jpg                         Rockstar Games                          8.0               9.8             N/A           N/A              26th Oct 18     02nd Nov 18    Action-Adventure
Star Wars Battlefront (2015)                  /games/boxart/full_8445462AmericaFrontccc.jpg                         Electronic Arts                         N/A               N/A             N/A           14.00m           17th Nov 15     31st Oct 20    Shooter
ARMA                                          /games/boxart/full_7752041AmericaFrontccc.jpg                         505 Games                               N/A               N/A             N/A           13.00m           04th May 07     17th Feb 20    Shooter
NBA 2K20                                      /games/boxart/full_273409AmericaFrontccc.png                          2K Sports                               N/A               N/A             N/A           14.00m           06th Sep 19     22nd Oct 20    Sports
Mafia                                         /games/boxart/full_7412081AmericaFrontccc.jpg                         2K Games                                N/A               N/A             N/A           14.00m           29th Aug 02     06th Nov 20    Action-Adventure
Street Fighter II                             /games/boxart/full_296487AmericaFrontccc.jpg                          Capcom                                  N/A               N/A             N/A           14.05m           15th Feb 91     02nd Nov 22    Fighting
Final Fantasy VII                             /games/boxart/full_217288AmericaFrontccc.jpg                          Sony Computer Entertainment             N/A               N/A             N/A           14.10m           07th Sep 97     09th Oct 20    Role-Playing
Everybody's Golf                              /games/boxart/full_6369523AmericaFrontccc.jpg                         Sony Interactive Entertainment          N/A               N/A             N/A           14.19m           30th Apr 98     09th Mar 20    Sports
Yo-kai Watch                                  /games/boxart/full_708831AmericaFrontccc.png                          Nintendo                                N/A               N/A             N/A           14.00m           06th Nov 15     16th Feb 20    Role-Playing
FIFA 13                                       /games/boxart/full_1552648PALFrontccc.jpeg                            EA Sports                               N/A               N/A             N/A           14.50m           25th Sep 12     15th Oct 20    Sports
Dead Island                                   /games/boxart/full_5574079AmericaFrontccc.jpg                         Deep Silver                             N/A               N/A             N/A           14.00m           06th Sep 11     20th Mar 20    Action-Adventure
Halo 3                                        /games/boxart/full_8373567AmericaFrontccc.jpg                         Microsoft Game Studios                  8.8               9.6             9.5           14.50m           25th Sep 07     11th Oct 18    Shooter
Pokémon Omega Ruby/Pokémon Alpha Sapphire     /games/boxart/full_5184866AmericaFrontccc.png                         Nintendo                                N/A               N/A             N/A           14.53m           21st Nov 14     03rd Aug 18    Role-Playing
Pokémon Legends: Arceus                       /games/boxart/full_89834AmericaFrontccc.jpg                           Nintendo                                8.0               N/A             N/A           14.63m           28th Jan 22     26th Feb 21    Role-Playing
Pokémon Yellow: Special Pikachu Edition       /games/boxart/4260472ccc.jpg                                          Nintendo                                N/A               8.7             N/A           14.64m           19th Oct 99     N/A            Role-Playing
